-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                                                     | type                                              |
| <http://fr.nomao.com/5135368.html>                                                                                                                    | <http://schema.org/PostalAddress>                 |
| <http://fr.nomao.com/10369924.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.touristlink.com/france/place-de-la-concorde/overview.html>                                                                                | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.touristlink.com/france/place-de-la-concorde/overview.html>                                                                                | <http://www.w3.org/2006/vcard/ns#Location>        |
| <https://www.annuairetel247.com/perrin-ludovic-missillac-ste-marie>                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <https://www.annuairetel247.com/perrin-ludovic-missillac-ste-marie>                                                                                   | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <https://www.annuairetel247.com/perrin-ludovic-missillac-ste-marie>                                                                                   | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://fr.nomao.com/1718857.html>                                                                                                                    | <http://schema.org/TouristAttraction>             |
| <http://fr.nomao.com/1718857.html>                                                                                                                    | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/1718857.html>                                                                                                                    | <http://schema.org/ListItem>                      |
| <http://fr.nomao.com/1718857.html>                                                                                                                    | <http://schema.org/PostalAddress>                 |
| <http://fr.nomao.com/1718857.html>                                                                                                                    | <http://schema.org/BreadcrumbList>                |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | <http://schema.org/GeoCoordinates>                |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | <http://schema.org/Country>                       |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | <http://schema.org/Hotel>                         |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | <http://schema.org/PostalAddress>                 |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | <http://data-vocabulary.org/Breadcrumb>           |
| <http://www.touristlink.com/france/cat/hotels.html>                                                                                                   | <http://schema.org/LodgingBusiness>               |
| <http://www.touristlink.com/france/cat/services.html>                                                                                                 | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.touristlink.com/france/cat/services.html>                                                                                                 | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://fr.nomao.com/12368861.html>                                                                                                                   | <http://schema.org/LocalBusiness>                 |
| <http://fr.nomao.com/12368861.html>                                                                                                                   | <http://schema.org/ListItem>                      |
| <http://fr.nomao.com/12368861.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/12368861.html>                                                                                                                   | <http://schema.org/BreadcrumbList>                |
| <http://fr.nomao.com/12368861.html>                                                                                                                   | <http://schema.org/PostalAddress>                 |
| <http://fr.nomao.com/12368861.html>                                                                                                                   | <http://schema.org/AggregateRating>               |
| <http://www.cmigroupe.com/en/p/acid-regeneration-plants>                                                                                              | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.cmigroupe.com/en/p/acid-regeneration-plants>                                                                                              | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.cmigroupe.com/en/p/acid-regeneration-plants>                                                                                              | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.cmigroupe.com/en/p/acid-regeneration-plants>                                                                                              | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://fr.nomao.com/10405519.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/de-pommeraye-9334/?amu=2582051301>                                                       | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/de-pommeraye-9334/?amu=2582051301>                                                       | <http://data-vocabulary.org/Breadcrumb>           |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/de-pommeraye-9334/?amu=2582051301>                                                       | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/de-pommeraye-9334/?amu=2582051301>                                                       | <http://www.w3.org/2006/vcard/ns#Name>            |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/de-pommeraye-9334/?amu=2582051301>                                                       | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/de-pommeraye-9334/?amu=2582051301>                                                       | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.touristlink.com/france/cat/airports.html>                                                                                                 | <http://schema.org/PostalAddress>                 |
| <http://www.touristlink.com/france/cat/airports.html>                                                                                                 | <http://schema.org/GeoCoordinates>                |
| <http://www.touristlink.com/france/cat/airports.html>                                                                                                 | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.touristlink.com/france/cat/airports.html>                                                                                                 | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.touristlink.com/france/cat/airports.html>                                                                                                 | <http://schema.org/Airport>                       |
| <http://www.touristlink.com/france/cat/airports.html>                                                                                                 | <http://data-vocabulary.org/Breadcrumb>           |
| <http://www.touristlink.com/france/cat/airports.html>                                                                                                 | <http://schema.org/Country>                       |
| <http://fr.nomao.com/1209516.html>                                                                                                                    | <http://schema.org/ListItem>                      |
| <http://fr.nomao.com/1209516.html>                                                                                                                    | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://fr.nomao.com/1209516.html>                                                                                                                    | <http://schema.org/BreadcrumbList>                |
| <http://fr.nomao.com/1209516.html>                                                                                                                    | <http://schema.org/PostalAddress>                 |
| <http://fr.nomao.com/1209516.html>                                                                                                                    | <http://schema.org/LocalBusiness>                 |
| <http://fr.nomao.com/41228093.html>                                                                                                                   | <http://www.w3.org/2006/vcard/ns#Address>         |
| <http://www.invista.com/en/inside-invista/global-locations-map.html>                                                                                  | <http://www.w3.org/2006/vcard/ns#Organization>    |
| <http://www.invista.com/en/inside-invista/global-locations-map.html>                                                                                  | <http://www.w3.org/2006/vcard/ns#VCard>           |
| <http://www.invista.com/en/inside-invista/global-locations-map.html>                                                                                  | <http://www.w3.org/2006/vcard/ns#Location>        |
| <http://www.invista.com/en/inside-invista/global-locations-map.html>                                                                                  | <http://www.w3.org/2006/vcard/ns#Name>            |
