-----------------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                                                     | count |
| <http://fr.nomao.com/64138834.html>                                                                                                                   | 33    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/prefailles/camping-eleovic/>                                              | 60    |
| <http://fr.nomao.com/10474645.html>                                                                                                                   | 33    |
| <http://hypnose-ericksonienne.fr/categorie/traitement-hypnose/565>                                                                                    | 144   |
| <http://www.ticketnetwork.com/ticket/disney-events.aspx?page=2>                                                                                       | 926   |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/appart-city-cap-affaires-le-sanitat-62372/>                                              | 69    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/pornic/camping-le-patisseau/?type=4>                                      | 59    |
| <http://www.touristlink.com/france/place-de-la-concorde/overview.html>                                                                                | 8     |
| <http://www.slideshare.net/makinacorpus>                                                                                                              | 22    |
| <https://www.annuairetel247.com/leboucher-sylvie-sautron-rue-grands-bois>                                                                             | 13    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/saint-brevin-les-pins/camping-le-fief/?q=&type=10>                        | 56    |
| <http://www.marcospecialties.com/ordering-policies/international-ordering/?yr=2012&month=3&dy=>                                                       | 113   |
| <http://www.ticketnetwork.com/ticket/ryan-lewis-events.aspx?page=2>                                                                                   | 182   |
| <http://www.thouare.fr/vie-quotidienne/sante>                                                                                                         | 5     |
| <http://fr.nomao.com/1104970.html>                                                                                                                    | 5     |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/saint-gildas-des-bois/camping-de-langatre/>                               | 9     |
| <http://www.slideshare.net/yannickprie>                                                                                                               | 25    |
| <http://www.slideshare.net/manuelpinardmedialibs>                                                                                                     | 26    |
| <http://www.ticketnetwork.com/tickets/disney-on-ice-tickets.aspx>                                                                                     | 1002  |
| <http://fr.nomao.com/12871860.html>                                                                                                                   | 36    |
| <http://fr.nomao.com/15657312.html>                                                                                                                   | 5     |
| <http://www.ticketnetwork.com/ticket/one-world-theatre-events.aspx?vid=1016&page=2>                                                                   | 501   |
| <http://fr.nomao.com/12368861.html>                                                                                                                   | 40    |
| <http://www.thouare.fr/projets-de-ville/terrain-de-football-synthetique>                                                                              | 24    |
| <http://www.touristlink.com/france/pays-de-la-loire/cat/airports.html>                                                                                | 14    |
| <http://www.ticketnetwork.com/ticket/disney-events.aspx?page=3>                                                                                       | 1001  |
| <http://fr.nomao.com/10258956.html>                                                                                                                   | 36    |
| <http://fr.nomao.com/15385778.html>                                                                                                                   | 33    |
| <http://fr.nomao.com/15675742.html>                                                                                                                   | 5     |
| <http://www.toplien.fr/maison/decoration/objet-artisanal/afrique/decoration-africaine-objets-deco-africains-uniques-d5163.html>                       | 30    |
| <http://fr.nomao.com/12881410.html>                                                                                                                   | 39    |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/la-bernerie-en-retz/camping-les-ecureuils/?type=10>                       | 60    |
| <http://www.touristlink.com/france/nantes---atlantique-airport/overview.html>                                                                         | 169   |
| <http://hypnose-medicale.eu/categorie/dr-julien-betbeze/1430>                                                                                         | 18    |
| <http://fr.nomao.com/64023171.html>                                                                                                                   | 33    |
| <http://fr.nomao.com/41228093.html>                                                                                                                   | 5     |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/l-hotel-9324/>                                                                           | 41    |
| <http://www.toplien.fr/boutique-ligne/bijoux/porte-collier-porte-boucles-oreilles-p12553.html>                                                        | 19    |
| <http://www.europejazz.net/jazz-pages/organization/musicians-proposal-209>                                                                            | 15    |
| <https://www.zapaday.com/venue/844650>                                                                                                                | 11    |
| <http://www.ticketnetwork.com/ticket/one-world-theatre-events.aspx?vid=1016&page=3>                                                                   | 251   |
| <http://www.esn-nantes.org/event/premier-caf%C3%A9-polyglotte>                                                                                        | 15    |
| <http://www.slideshare.net/judicael44>                                                                                                                | 23    |
| <http://www.ticketnetwork.com/ticket/paris-saint-germain-events.aspx>                                                                                 | 261   |
| <http://www.tvtrip.fr/nantes-hotels/westotel_1>                                                                                                       | 39    |
| <http://fr.nomao.com/4493300.html>                                                                                                                    | 39    |
| <http://fr.nomao.com/12873751.html>                                                                                                                   | 36    |
| <http://fr.nomao.com/7385797.html>                                                                                                                    | 35    |
| <http://fr.nomao.com/10814296.html>                                                                                                                   | 5     |
| <http://fr.nomao.com/361625.html>                                                                                                                     | 5     |
| <http://fr.nomao.com/4709955.html>                                                                                                                    | 5     |
| <http://fr.nomao.com/5133740.html>                                                                                                                    | 23    |
| <http://www.ondata.es/recuperar/contactenos.htm>                                                                                                      | 423   |
| <http://www.royal-de-luxe.com/en/>                                                                                                                    | 12    |
| <http://le-portail.com/categorie/annuaire-hypnotherapeute/1358>                                                                                       | 152   |
| <http://hypnose-ericksonienne.fr/categorie/traitement-du-stress-post-traumatique/505>                                                                 | 65    |
| <http://www.touristlink.com/france/pays-de-la-loire/overview.html>                                                                                    | 5     |
| <https://www.zapaday.com/venue/470145>                                                                                                                | 15    |
| <http://www.europejazz.net/articles/14e-festival-de-nuits-du-jazz>                                                                                    | 16    |
| <http://fr.nomao.com/41708219.html>                                                                                                                   | 5     |
| <http://www.europejazz.net/jazz-pages/organization/musicians-proposal-208>                                                                            | 17    |
| <http://www.tenaris.com/en/ContactUs.aspx>                                                                                                            | 2228  |
| <http://www.genuineguidegear.com/dealers>                                                                                                             | 12063 |
| <https://www.pitchup.com/campsites/france/pays-de-la-loire/loire-atlantique/piriac/camping-parc-du-guibel/>                                           | 56    |
| <http://www.lectra.com/en/global-network?p_contactval=customers>                                                                                      | 1329  |
| <http://www.labelsandlabeling.com/suppliers?companyid=1331>                                                                                           | 289   |
| <http://fr.nomao.com/715382.html>                                                                                                                     | 23    |
| <http://fr.nomao.com/532968.html>                                                                                                                     | 39    |
| <http://fr.nomao.com/362258.html>                                                                                                                     | 5     |
| <http://www.televes.es/cat/empresa/redcomercial/filial-internacional>                                                                                 | 135   |
| <http://www.qcclick.com/avocat-nantes.html>                                                                                                           | 35    |
| <http://www.touristlink.com/france/hotel-amiral/overview.html>                                                                                        | 16    |
| <http://fr.nomao.com/15434150.html>                                                                                                                   | 5     |
| <http://fr.nomao.com/41196164.html>                                                                                                                   | 33    |
| <http://fr.nomao.com/12888782.html>                                                                                                                   | 31    |
| <http://fr.nomao.com/66933223.html>                                                                                                                   | 38    |
| <http://www.gaydavineyards.com/en/where-to-buy-our-wines>                                                                                             | 1800  |
| <http://www.annuaire-mairie.fr/carte-identite-nantes.html>                                                                                            | 15    |
| <http://www.touristlink.com/france/loire-valley/overview.html>                                                                                        | 90    |
| <http://www.slideshare.net/slepallec>                                                                                                                 | 24    |
| <http://www.europejazz.net/jazz-pages/organization/musicians-proposal-207>                                                                            | 26    |
| <http://le-portail.com/categorie/dr-julien-betbeze/1430>                                                                                              | 18    |
| <http://www.easytobook.com/en/france/loire-atlantique/nantes/de-pommeraye-9334/>                                                                      | 20    |
| <http://www.kappastore.eu/>                                                                                                                           | 149   |
| <http://fr.nomao.com/396502.html>                                                                                                                     | 23    |
| <http://fr.nomao.com/1271712.html>                                                                                                                    | 35    |
| <http://www.slideshare.net/helenerochguiheneuf>                                                                                                       | 24    |
