-----------------------------------------------------------------------
| p                                                           | count |
| <http://schema.org/Hotel/photo>                             | 9     |
| <http://schema.org/City/additionalType>                     | 20    |
| <http://schema.org/Landform/description>                    | 1     |
| <http://schema.org/LocalBusiness/address>                   | 45    |
| <http://purl.org/dc/terms/title>                            | 141   |
| <http://schema.org/Hotel/additionalType>                    | 26    |
| <http://www.w3.org/2002/12/cal/icaltzd#url>                 | 990   |
| <http://schema.org/Person/image>                            | 16    |
| <http://schema.org/Person/honorificPrefix>                  | 1     |
| <http://schema.org/Continent/name>                          | 1     |
| <http://schema.org/AutomotiveBusiness/logo>                 | 2     |
| <http://schema.org/PostalAddress/streetAddress>             | 326   |
| <http://schema.org/ImageObject/contentURL>                  | 14    |
| <http://schema.org/Landform/name>                           | 1     |
| <http://purl.org/goodrelations/v1#acceptedPaymentMethods>   | 17    |
| <http://schema.org/LodgingBusiness/geo>                     | 9     |
| <http://schema.org/State/name>                              | 2     |
| <http://schema.org/Country/image>                           | 47    |
| <http://schema.org/LodgingBusiness/additionalType>          | 4     |
| <http://schema.org/TouristAttraction/address>               | 2     |
| <http://www.w3.org/2006/vcard/ns#adr>                       | 2423  |
| <http://schema.org/BarOrPub/name>                           | 1     |
| <http://purl.org/goodrelations/v1#description>              | 4     |
| <http://www.w3.org/2006/vcard/ns#logo>                      | 2     |
| <http://schema.org/Store/logo>                              | 7     |
| <http://schema.org/Airport/description>                     | 2     |
| <http://schema.org/EducationalOrganization/name>            | 1     |
| <http://schema.org/LodgingBusiness/address>                 | 9     |
| <http://www.w3.org/2006/vcard/ns#photo>                     | 42    |
| <http://schema.org/AggregateRating/worstRating>             | 27    |
| <http://schema.org/LocalBusiness/url>                       | 29    |
| <http://schema.org/GeoCoordinates/latitude>                 | 66    |
| <http://schema.org/Country/description>                     | 4     |
| <http://purl.org/stuff/rev#type>                            | 3     |
| <http://www.facebook.com/2008/fbmlapp_id>                   | 2     |
| <http://schema.org/PostalAddress/addressRegion>             | 95    |
| <http://www.w3.org/2006/vcard/ns#role>                      | 16    |
| <http://schema.org/TouristAttraction/logo>                  | 2     |
| <http://schema.org/CivicStructure/url>                      | 20    |
| <http://www.w3.org/2006/vcard/ns#fn>                        | 1530  |
| <http://www.w3.org/2006/vcard/ns#street-address>            | 2548  |
| <http://schema.org/LodgingBusiness/aggregateRating>         | 7     |
| <http://schema.org/MedicalOrganization/name>                | 6     |
| <http://www.w3.org/2002/12/cal/icaltzd#description>         | 572   |
| <http://www.w3.org/2006/vcard/ns#locality>                  | 3262  |
| <http://schema.org/Airport/photos>                          | 2     |
| <http://schema.org/Person/telephone>                        | 2     |
| <http://purl.org/stuff/rev#hasReview>                       | 3     |
| <http://schema.org/Organization/name>                       | 11    |
| <http://schema.org/Hotel/description>                       | 2     |
| <http://schema.org/AutomotiveBusiness/address>              | 2     |
| <http://schema.org/Person/jobTitle>                         | 15    |
| <http://ogp.me/ns#site_name>                                | 3     |
| <http://vocab.sindice.com/xfn#me-hyperlink>                 | 7     |
| <http://schema.org/CivicStructure/image>                    | 8     |
| <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>           | 14259 |
| <http://schema.org/Organization/telephone>                  | 6     |
| <http://schema.org/CivicStructure/additionalType>           | 20    |
| <http://www.w3.org/2006/vcard/ns#tel>                       | 1361  |
| <http://ogp.me/ns#type>                                     | 4     |
| <http://schema.org/LocalBusiness/telephone>                 | 14    |
| <http://www.w3.org/2006/vcard/ns#category>                  | 4     |
| <http://www.w3.org/2002/12/cal/icaltzd#dtend>               | 282   |
| <http://schema.org/Store/address>                           | 7     |
| <http://schema.org/City/image>                              | 28    |
| <http://schema.org/LocalBusiness/logo>                      | 29    |
| <http://schema.org/ProfessionalService/address>             | 2     |
| <http://www.w3.org/2006/vcard/ns#url>                       | 319   |
| <http://ogp.me/ns#description>                              | 4     |
| <http://schema.org/CafeOrCoffeeShop/logo>                   | 1     |
| <http://www.w3.org/2002/12/cal/icaltzd#status>              | 2     |
| <http://ogp.me/ns#title>                                    | 4     |
| <http://www.w3.org/2006/vcard/ns#honorific-prefix>          | 2     |
| <http://purl.org/goodrelations/v1#eligibleRegions>          | 411   |
| <http://www.w3.org/2006/vcard/ns#nickname>                  | 2     |
| <http://purl.org/goodrelations/v1#availableAtOrFrom>        | 1     |
| <http://purl.org/goodrelations/v1#availableDeliveryMethods> | 11    |
| <http://schema.org/City/geo>                                | 10    |
| <http://schema.org/LodgingBusiness/priceRange>              | 7     |
| <http://www.w3.org/2002/12/cal/icaltzd#uid>                 | 270   |
| <http://www.w3.org/2006/vcard/ns#fax>                       | 91    |
| <http://schema.org/Event/name>                              | 5     |
| <http://schema.org/Continent/description>                   | 1     |
| <http://schema.org/Corporation/address>                     | 1     |
| <http://schema.org/City/description>                        | 1     |
| <http://schema.org/PostalAddress/addressCountry>            | 290   |
| <http://schema.org/EducationalOrganization/url>             | 1     |
| <http://schema.org/CivicStructure/geo>                      | 10    |
| <http://schema.org/City/url>                                | 20    |
| <http://purl.org/goodrelations/v1#eligibleCustomerTypes>    | 9     |
| <http://schema.org/Hotel/photos>                            | 2     |
| <http://schema.org/Corporation/telephone>                   | 1     |
| <http://schema.org/City/name>                               | 11    |
| <http://schema.org/Corporation/name>                        | 1     |
| <http://schema.org/Corporation/email>                       | 1     |
| <http://www.w3.org/2006/vcard/ns#country-name>              | 3091  |
| <http://www.w3.org/2006/vcard/ns#region>                    | 1241  |
| <http://purl.org/goodrelations/v1#validThrough>             | 29    |
| <http://schema.org/Airport/address>                         | 14    |
| <http://schema.org/MedicalOrganization/address>             | 6     |
| <http://schema.org/LodgingBusiness/name>                    | 9     |
| <http://schema.org/Store/name>                              | 7     |
| <http://schema.org/Restaurant/logo>                         | 7     |
| <http://schema.org/Organization/geo>                        | 1     |
| <http://www.w3.org/2006/vcard/ns#workTel>                   | 136   |
| <http://schema.org/Airport/geo>                             | 14    |
| <http://www.w3.org/2000/01/rdf-schema#label>                | 251   |
| <http://schema.org/EducationalOrganization/address>         | 1     |
| <http://schema.org/CafeOrCoffeeShop/address>                | 1     |
| <http://www.w3.org/2002/12/cal/icaltzd#component>           | 1005  |
| <http://schema.org/ProfessionalService/url>                 | 2     |
| <http://rdfs.org/sioc/ns#num_replies>                       | 2     |
| <http://schema.org/Landform/photo>                          | 3     |
| <http://data-vocabulary.org/Breadcrumb/url>                 | 214   |
| <http://www.w3.org/2002/12/cal/icaltzd#location>            | 985   |
| <http://schema.org/ImageObject/author>                      | 9     |
| <http://www.w3.org/2006/vcard/ns#geo>                       | 330   |
| <http://schema.org/Hotel/address>                           | 16    |
-----------------------------------------------------------------------
