-------------------------------------------------------------------------------------------------------------------------------------------------------
| g                                                                                                                  | country                | count |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Brésil"               | 2     |
| <http://www.last.fm/fr/label/Luaka+Bop/events?setlang=fr>                                                          | "Canada"               | 3     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Paraguay"             | 2     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "États-Unis"           | 9     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Norway"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Zimbabwe"             | 3     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Malta"                | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Switzerland"          | 2     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Taiwan"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "United Kingdom"       | 8     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Greece"               | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "South Africa"         | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Émirats arabes unis"  | 1     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Sweden"               | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Sudan"                | 6     |
| <http://www.orange-business.com/ru-en/contacts>                                                                    | "Italy"                | 2     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Colombia"             | 1     |
| <http://www.orange-business.com/fr/where-we-are>                                                                   | "Nouvelle-Zélande"     | 2     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Luxembourg"           | 1     |
| <http://www.orange-business.com/en/where-we-are>                                                                   | "Argentina"            | 1     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Swaziland"            | 3     |
| <http://www.sugartech.co.za/factories/list.php>                                                                    | "Slovenia"             | 1     |
| <http://www.labelsandlabeling.com/suppliers?companyid=1331>                                                        | "Brazil"               | 1     |
