-----------------------------------------------------------------------------
| p                                                                 | count |
| <http://schema.org/LocalBusiness/aggregateRating>                 | 7     |
| <http://www.w3.org/2006/vcard/ns#title>                           | 2     |
| <http://schema.org/PostalAddress/postalCode>                      | 115   |
| <http://schema.org/Restaurant/name>                               | 5     |
| <http://www.w3.org/2006/vcard/ns#org>                             | 1159  |
| <http://schema.org/Organization/description>                      | 3     |
| <http://ogp.me/ns#locale>                                         | 4     |
| <http://schema.org/TrainStation/geo>                              | 2     |
| <http://schema.org/LocalBusiness/email>                           | 27    |
| <http://schema.org/LocalBusiness/description>                     | 31    |
| <http://schema.org/PostalAddress/name>                            | 1     |
| <http://schema.org/Event/address>                                 | 15    |
| <http://schema.org/AdministrativeArea/name>                       | 1     |
| <http://opengraphprotocol.org/schema/site_name>                   | 16    |
| <http://schema.org/Event/additionalType>                          | 29    |
| <http://schema.org/BarOrPub/url>                                  | 1     |
| <http://schema.org/Hotel/url>                                     | 23    |
| <http://schema.org/Restaurant/photo>                              | 2     |
| <http://www.w3.org/2006/vcard/ns#longitude>                       | 576   |
| <http://schema.org/TrainStation/url>                              | 4     |
| <http://schema.org/PostalAddress/addressLocality>                 | 165   |
| <http://rdf.data-vocabulary.org/#url>                             | 12    |
| <http://schema.org/Landform/url>                                  | 1     |
| <http://schema.org/BreadcrumbList/itemListElement>                | 246   |
| <http://www.w3.org/2006/vcard/ns#n>                               | 1660  |
| <http://schema.org/City/photos>                                   | 3     |
| <http://schema.org/State/additionalType>                          | 1     |
| <http://schema.org/TouristAttraction/image>                       | 4     |
| <http://schema.org/ListItem/name>                                 | 244   |
| <http://schema.org/State/description>                             | 5     |
| <http://www.w3.org/1999/xhtml/microdata#item>                     | 640   |
| <http://schema.org/Restaurant/img>                                | 1     |
| <http://schema.org/LandmarksOrHistoricalBuildings/photo>          | 3     |
| <http://schema.org/Person/url>                                    | 5     |
| <http://schema.org/Person/address>                                | 6     |
| <http://schema.org/TouristAttraction/additionalType>              | 8     |
| <http://schema.org/Airport/name>                                  | 21    |
| <http://schema.org/TrainStation/address>                          | 2     |
| <http://www.w3.org/2006/vcard/ns#note>                            | 40    |
| <http://schema.org/Hotel/photo>                                   | 9     |
| <http://schema.org/LandmarksOrHistoricalBuildings/address>        | 1     |
| <http://schema.org/City/additionalType>                           | 47    |
| <http://schema.org/Landform/description>                          | 1     |
| <http://schema.org/LocalBusiness/address>                         | 70    |
| <http://purl.org/dc/terms/title>                                  | 203   |
| <http://schema.org/LocalBusiness/paymentAccepted>                 | 4     |
| <http://schema.org/Hotel/additionalType>                          | 23    |
